coalition_id,members,size,mean_value,std_value,runs,notes
78,"('0', '4', '6')",3,0.4081390803770015,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
79,"('0', '4', '7')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
80,"('0', '4', '8')",3,0.46528799172518215,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
81,"('0', '4', '9')",3,0.4735880224964217,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
82,"('0', '5', '6')",3,0.40729773169277833,0.03355640821310393,20,scenario=levinthal1997;N=10;K=3;trials=20
83,"('0', '5', '7')",3,0.44561348496945963,0.001999324831663303,20,scenario=levinthal1997;N=10;K=3;trials=20
84,"('0', '5', '8')",3,0.41535756764897014,0.027005995865052694,20,scenario=levinthal1997;N=10;K=3;trials=20
85,"('0', '5', '9')",3,0.5996024330006444,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
86,"('0', '6', '7')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
87,"('0', '6', '8')",3,0.3965722770346788,0.018641395516980727,20,scenario=levinthal1997;N=10;K=3;trials=20
88,"('0', '6', '9')",3,0.46315984234343005,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
89,"('0', '7', '8')",3,0.43085616389795084,0.017243359467767654,20,scenario=levinthal1997;N=10;K=3;trials=20
90,"('0', '7', '9')",3,0.5354981652192323,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
91,"('0', '8', '9')",3,0.5107829831445724,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
92,"('1', '2', '3')",3,0.43613663145681913,0.014699485566845442,20,scenario=levinthal1997;N=10;K=3;trials=20
93,"('1', '2', '4')",3,0.4859967566737973,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
94,"('1', '2', '5')",3,0.4620685796281875,0.01111374002537605,20,scenario=levinthal1997;N=10;K=3;trials=20
95,"('1', '2', '6')",3,0.5524479747216601,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
96,"('1', '2', '7')",3,0.5196351508487244,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
97,"('1', '2', '8')",3,0.5562574859359358,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
98,"('1', '2', '9')",3,0.5248743806718693,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
99,"('1', '3', '4')",3,0.44010387931298284,0.014590238011579488,20,scenario=levinthal1997;N=10;K=3;trials=20
100,"('1', '3', '5')",3,0.44244094093385267,0.0036596715828738483,20,scenario=levinthal1997;N=10;K=3;trials=20
101,"('1', '3', '6')",3,0.5319964699056033,0.048684319299956334,20,scenario=levinthal1997;N=10;K=3;trials=20
102,"('1', '3', '7')",3,0.5042259030213874,0.015409247827336825,20,scenario=levinthal1997;N=10;K=3;trials=20
103,"('1', '3', '8')",3,0.4846374048606322,0.004099816004296236,20,scenario=levinthal1997;N=10;K=3;trials=20
104,"('1', '3', '9')",3,0.49224344925469293,0.04984457107204109,20,scenario=levinthal1997;N=10;K=3;trials=20
105,"('1', '4', '5')",3,0.4562339943417795,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
106,"('1', '4', '6')",3,0.5524479747216601,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
107,"('1', '4', '7')",3,0.5196351508487244,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
